Subject,DC Index,CL Index,Uncommon Words,Unique Words
"Ahmed Benyahia",11.9,13.0,31,69
"Alberto Giacometti",13.2,16.7,23,53
"And to Think That I Saw It on Mulberry Street",7.5,10.5,19,134
"Andy Warhol",7.7,13.8,27,175
"Annelies",11.0,13.8,52,107
"Annunciation (Leonardo)",9.6,13.5,38,124
"Anton Mauve",8.5,12.1,25,97
"Ben Aronson",8.9,14.6,67,231
"Ben Shahn",8.9,9.7,6,33
"Benois Madonna",8.5,12.2,42,158
"Byron Galvez",8.6,11.3,27,143
"Charles A. Murphy",8.5,11.8,6,25
"Daisy-Head Mayzie",8.2,11.6,4,28
"David Foster Wallace",9.0,11.0,18,83
"Dick Bruna",8.9,12.7,30,111
"Don DeLillo",7.9,13.2,19,122
"Donald Baechler",8.0,12.1,55,260
"Dorothy Annan",13.7,12.7,9,18
"Dr. Seuss on the Loose",7.7,9.1,17,73
"Duccio",8.8,11.1,14,66
"Eugene Savage",9.8,12.0,10,36
"Extinction (Bernhard novel)",9.9,13.0,4,17
"Gertrude Stein",10.4,12.6,45,122
"Gilbert Brown Wilson",10.2,11.4,15,50
"Green Eggs and Ham",8.7,11.0,15,62
"Gualino Madonna",11.7,13.2,10,25
"H. M. Naqvi",9.6,3.9,5,24
"Hazel Barnes",8.4,12.7,24,93
"Henri Matisse",8.9,13.1,20,93
"Jack Prelutsky",10.8,12.1,6,22
"Jackson Pollock",8.1,11.8,23,106
"James Kelsey (sculptor)",14.0,19.9,9,21
"Jean-Paul Sartre",9.4,15.4,23,90
"Jeff Gabel",13.7,10.5,7,17
"John Fante",8.4,10.3,18,86
"K. J. Stevens",12.1,10.8,26,64
"Kurt Oscar Weber",9.8,14.4,18,56
"Leslie Scalapino",7.9,11.6,11,69
"Lewis Gordon",9.7,15.8,15,51
"Madonna and Child (Duccio)",8.0,12.7,6,46
"Marcel Mouly",9.9,8.0,4,15
"Meadows near Rijswijk and the Schenkweg",9.0,10.9,22,103
"Mike Lawrence (comedian)",12.4,12.3,8,21
"Mona Lisa",9.4,11.2,27,104
"Noah Cicero",8.5,12.9,26,108
"Noel Rockmore",8.9,11.9,20,101
"Norman Mailer",9.2,12.8,31,119
"Olga Khokhlova",11.7,6.7,10,27
"Otto Weininger",9.9,13.0,16,54
"Pablo Picasso",9.5,15.4,39,150
"Paloma Picasso",10.7,11.4,21,73
"Paul Fericano",8.4,11.9,19,86
"Paul Gauguin",9.2,12.8,29,105
"Paul McCarthy",11.7,11.5,6,17
"Paul Rosenberg (art dealer)",10.2,10.6,11,35
"Philip Southern",10.8,21.9,4,12
"Piano Lesson (painting)",8.0,11.5,27,105
"Portrait of a Musician",7.5,10.3,28,127
"Private Snafu",8.9,14.4,13,60
"R. C. Gorman",9.6,10.6,15,60
"Ralf Metzenmacher",9.1,12.8,6,34
"Road with Cypress and Star",10.8,12.0,11,40
"Robert Ryman",9.7,12.0,6,33
"Roger Ing",10.8,12.2,41,101
"Rosemarie Beck",10.5,11.5,8,25
"Scrambled Eggs Super!",8.3,6.4,4,29
"Seyhan Kurt",14.2,13.6,4,11
"Spies (1943 film)",9.4,8.7,10,33
"Still Life: Vase with Pink Roses (Van Gogh)",8.2,8.0,12,61
"Susan McClary",10.0,15.0,6,30
"The Age of Reason (novel)",7.1,11.3,21,128
"The Bippolo Seed and Other Lost Stories",7.1,12.6,9,61
"The Devil Is a Woman (1950 film)",8.2,6.8,4,22
"The Hoober-Bloob Highway",7.7,10.2,12,78
"The Lorax (TV special)",7.8,6.6,9,33
"The Palace at 4 a.m.",6.6,7.6,5,58
"The Plum Blossoms",11.6,8.6,4,10
"The Potato Eaters",9.6,9.3,14,42
"The Proud and the Beautiful",11.2,13.2,13,38
"The Snail",7.6,10.4,21,87
"The Wheat Field",8.0,8.8,25,140
"Thomas Bernhard",10.6,13.8,10,44
"Thomas Ligotti",9.3,15.5,14,59
"Vincent van Gogh",7.6,10.8,44,231
"Vladimir Nabokov",8.9,10.1,21,103
"White House at Night",10.0,8.4,47,114
"Yertle the Turtle and Other Stories",7.9,10.2,15,102
