2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,Rarity,Object Property 1,Object Property 2
6813,7761,8624,8403,8647,8200,7074,6586,8250,8456,7881,7007,58,247,26
4721,5022,5477,5076,6815,4611,5018,5005,4681,4463,4003,3793,196,561,51
264577,316358,268041,253296,277325,333266,280776,228455,272353,255598,246531,214307,18670,59358,19786
74123,70688,74570,67453,67749,60010,58739,56027,67066,59809,59618,50464,1681,9436,5392
83645,129566,216192,92264,96559,129223,57760,62780,76109,70547,75392,88673,261,444,370
2060,1969,2284,2467,2317,1899,1823,1950,2245,2341,2555,3051,73,220,20
318751,321874,383098,410430,375764,253081,208576,202928,288922,296412,288409,280252,287,986,136
207571,202657,234852,200136,210089,150110,132063,123203,177941,182797,184893,276666,398,381,127
3428,3590,3695,3622,3502,3008,2829,2511,3232,3154,2982,2382,24,56,4
206984,213328,230391,212432,221505,171541,115945,122656,184729,276069,170742,140727,379,2288,520
4230,4178,4192,4114,4214,5189,3596,3850,3413,3539,3846,3222,464,336,672
20246,21323,23264,20559,19920,12592,9527,10534,16847,18326,17663,13482,87,240,30
15461,16321,17004,16882,17341,14867,13982,21186,24688,21876,18663,14879,94,72,36
135804,130266,158158,144242,140864,108764,109581,116168,155275,134738,132506,119195,5077,32006,4924
15032,13333,14590,15570,15191,12552,13273,12262,14430,14667,13239,13460,116,520,80
4898,5452,6477,5530,5450,4433,4467,3661,5432,5485,5128,4222,42,44,6
37824,45714,46560,56857,34577,28843,26037,26626,30876,33360,30911,28970,136,462,33
59403,64615,66288,60261,58651,46590,46722,49507,65465,56094,60872,54162,432,5418,2520
10916,9964,10584,9602,9856,8195,8621,7586,7867,7936,7591,7118,65,434,322
3209,3122,3510,3716,3527,2866,3337,3111,3351,3524,3198,3763,46,117,26
15868,14010,14192,14244,14788,12413,16549,18994,31154,18697,15939,18053,44,112,40
2396,3716,2515,2597,2047,2013,1703,1369,1356,1138,1052,1297,6,14,2
19201,21142,19751,18985,17622,13183,11317,13853,19809,20547,21918,16336,99,55,44
3021,3510,3226,2750,2895,2375,2273,2095,2906,2803,2516,2343,47,16,12
132,129,143,100,134,169,120,129,190,137,152,157,4,13,7
5345,6052,5720,5534,6320,4753,5123,4787,5380,5076,4729,4666,86,437,115
301,281,290,403,347,299,408,343,1568,346,480,366,11,8,2
3790,4416,4359,4427,3733,3169,2501,2401,3669,3888,3628,3439,58,30,20
73647,58199,77723,68325,63152,50050,47344,44460,54534,65523,59230,57503,276,1152,720
6302,7309,8716,8594,8411,7483,7212,5383,6254,6942,7315,5984,2560,8514,4257
54369,58814,65894,59076,61352,60133,60194,46555,50377,47025,39095,34654,1006,5775,4235
176792,203140,211902,183061,181546,145634,116549,114883,167825,176586,166905,141089,517,2422,519
130388,146536,181332,169864,179898,118351,106323,112935,117893,145990,114954,136104,311,480,96
175002,174441,181698,170927,168908,121803,106837,114151,177567,162847,146584,170236,347,4300,5160
184718,185503,228755,202364,202324,171753,166874,138869,198654,196305,183842,203116,225,546,420
7124,6624,7207,6715,6732,5360,5094,4484,5895,5991,5383,5184,60,170,10
234214,218755,226095,229064,206753,167818,174085,157555,186267,167178,151655,152229,400,351,351
249466,73189,61367,55849,53873,47322,44418,44084,46087,42710,39201,40040,156,684,38
83067,83955,91376,83633,86181,69451,56441,54834,61077,65411,58691,93189,97,525,420
14614,18098,16779,13314,13801,10432,7639,8040,13809,14296,17571,9866,58,130,10
297,241,331,264,206,271,329,226,306,244,265,207,5,31,3
2624,2506,3191,3475,2983,2382,2102,1961,2582,2795,3018,2661,28,256,8
1826,1927,2048,2003,1867,1551,1419,1505,2163,2121,1648,1709,24,6,2
390356,414183,461585,405887,396369,394914,348276,277605,338891,336170,373653,290113,91517,40000,10000
11668,12364,13552,12765,12385,8959,8735,8120,10941,10934,10635,10094,104,330,105
4418,4019,4476,4782,5175,5087,3363,3316,3810,14175,4441,3659,13,39,138
35170,35451,41863,38003,37341,31286,24989,24519,30024,34802,31845,28597,149,243,189
7362,14122,9132,7708,9718,6116,4180,3982,6607,6443,5801,5250,19,32,8
2847,2621,3115,3253,3017,2444,2513,2281,2812,2797,3432,2225,134,816,136
44043,40417,48160,46716,46812,37093,37238,36349,44533,42140,52196,37260,1433,1797,1797
40910,46202,53969,44249,41841,26783,23897,20316,37630,45292,39442,32868,93,210,21
62109,66751,75594,74793,70341,50491,36780,35430,55950,58507,56379,47013,283,154,77
3522,4128,4268,4199,4250,2440,2163,2345,3033,3869,3549,3240,24,125,5
1540200,1265108,1221764,1038576,1053350,907729,825381,754568,926037,1030023,1088943,961186,453828,0,20000
65095,72606,77959,71155,70329,58935,60700,59214,66209,68368,58399,55168,1234,2592,864
4852,4571,4816,4686,4539,3262,3410,3173,4308,4078,3808,3411,27,56,4
6172,6271,7655,7854,7444,6091,6216,5179,6254,6307,6920,6873,74,72,18
137,170,135,149,142,160,161,125,172,185,189,147,11,98,54
9033,9229,10351,8575,8899,9428,8682,7913,8749,8486,7382,6340,23,0,0
17562,22812,21544,18464,19330,16632,16576,14733,15365,14962,16964,19243,126,104,52
