pre,domain,range
award,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Award
deathPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
nationality,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Country
training,http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/EducationalInstitution
author,http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/Person
coverArtist,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person
influenced,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person
influencedBy,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person
birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
almaMater,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/EducationalInstitution
producer,http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/Agent
knownFor,http://dbpedia.org/ontology/Person,
movement,http://dbpedia.org/ontology/Artist,
spouse,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person
parent,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person
writer,http://dbpedia.org/ontology/Work,http://dbpedia.org/ontology/Person
education,http://dbpedia.org/ontology/Person,
museum,http://dbpedia.org/ontology/Artwork,http://dbpedia.org/ontology/Museum
notableWork,http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Work
